timestamp,product_name,cas,quantities,units,partner,emails
2025-05-02T15:35:34.662050,Sunny,108108,3,kg,"Covenants PharmaChem LLP
",kharghar.yuva@gmail.com
2025-05-02T15:44:25.554301,Sample,789-56-05,85,kg,"Covenants PharmaChem LLP
",kharghar.yuva@gmail.com
2025-05-02T16:03:06.381702,Sample,789-56-05,44,kg,"Covenants PharmaChem LLP
",kharghar.yuva@gmail.com
2025-05-02T16:10:02.327438,Sunny,108108,34,kg,"Covenants PharmaChem LLP
",kharghar.yuva@gmail.com
2025-05-02T16:12:47.533306,Sunny Paththarwala,108108,3,L,"Covenants PharmaChem LLP
",kharghar.yuva@gmail.com
2025-05-02T16:14:39.814009,Sunny,108108,2,kg,"Covenants PharmaChem LLP
",kharghar.yuva@gmail.com
2025-05-05T17:58:36.311965,Sunny Paththarwala,108108,"456, 45","kg, gm","Covenants PharmaChem LLP
",kharghar.yuva@gmail.com
2025-05-07T14:54:36.960783,Sunny das,108108,"2, 55","kg, gm","Covenants PharmaChem LLP
",kharghar.yuva@gmail.com
2025-05-08T14:45:37.817951,Sunny,108108,2,kg,"Covenants PharmaChem LLP
",kharghar.yuva@gmail.com
2025-05-20T19:21:54.945465,Sunny,108108,3,kg,"Covenants PharmaChem LLP
",kharghar.yuva@gmail.com
